nios2-terminal: connected to hardware target using JTAG UART on cable
nios2-terminal: "USB-Blaster [USB-0]", device 1, instance 0
nios2-terminal: (Use the IDE stop button or Ctrl-C to terminate)

Tight Polling method selected
Please, press PB0 to continue, or change switch position and press PB1
400, 200, 1, 33, 46, 0,
402, 201, 1, 27, 45, 0,
404, 202, 1, 75, 44, 0,
406, 203, 1, 34, 46, 0,
408, 204, 1, 29, 45, 0,
410, 205, 1, 27, 61, 0,
412, 206, 1, 26, 45, 0,
414, 207, 1, 34, 45, 0,
416, 208, 1, 30, 45, 0,
418, 209, 1, 28, 44, 0,
420, 210, 1, 39, 45, 0,
422, 211, 1, 47, 60, 0,
424, 212, 1, 37, 45, 0,
426, 213, 1, 65, 45, 0,
428, 214, 1, 35, 44, 0,
430, 215, 1, 34, 45, 0,
432, 216, 1, 33, 44, 0,
434, 217, 1, 32, 62, 0,
436, 218, 1, 32, 45, 0,
438, 219, 1, 30, 45, 0,
440, 220, 1, 32, 43, 0,
442, 221, 1, 28, 43, 0,
444, 222, 1, 36, 57, 0,
446, 223, 1, 26, 42, 0,
448, 224, 1, 44, 44, 0,
450, 225, 1, 24, 41, 0,
452, 226, 1, 23, 37, 0,
454, 227, 1, 25, 42, 0,
456, 228, 1, 34, 64, 0,
458, 229, 1, 27, 37, 0,
460, 230, 1, 23, 38, 0,
462, 231, 1, 32, 40, 0,
464, 232, 1, 47, 39, 0,
466, 233, 1, 38, 39, 0,
468, 234, 1, 25, 50, 0,
470, 235, 1, 28, 36, 0,
472, 236, 1, 34, 39, 0,
474, 237, 1, 47, 41, 0,
476, 238, 1, 38, 38, 0,
478, 239, 1, 35, 30, 0,
480, 240, 1, 36, 48, 0,
482, 241, 1, 35, 34, 0,
484, 242, 1, 34, 35, 0,
486, 243, 1, 39, 32, 0,
488, 244, 1, 33, 35, 0,
490, 245, 1, 31, 34, 0,
492, 246, 1, 37, 51, 0,
494, 247, 1, 29, 34, 0,
496, 248, 1, 40, 33, 0,
498, 249, 1, 27, 44, 0,
500, 250, 1, 44, 32, 0,
502, 251, 1, 26, 45, 0,
504, 252, 1, 24, 29, 0,
506, 253, 1, 23, 29, 0,
508, 254, 1, 27, 31, 0,
510, 255, 1, 28, 29, 0,
512, 256, 1, 28, 28, 0,
514, 257, 1, 33, 46, 0,
516, 258, 1, 32, 29, 0,
518, 259, 1, 24, 26, 0,
520, 260, 1, 25, 30, 0,
522, 261, 1, 39, 29, 0,
524, 262, 1, 43, 30, 0,
526, 263, 1, 65, 41, 0,
528, 264, 1, 39, 26, 0,
530, 265, 1, 38, 26, 0,
532, 266, 1, 38, 26, 0,
534, 267, 1, 36, 26, 0,
536, 268, 1, 39, 26, 0,
538, 269, 1, 34, 43, 0,
540, 270, 1, 38, 30, 0,
542, 271, 1, 32, 25, 0,
544, 272, 1, 31, 24, 0,
546, 273, 1, 30, 25, 0,
548, 274, 5404, 270, 1835, 0,
550, 275, 1, 28, 40, 0,
552, 276, 1, 42, 24, 0,
554, 277, 1, 26, 22, 0,
556, 278, 1, 25, 24, 0,
558, 279, 1, 24, 22, 0,
560, 280, 1, 23, 33, 0,
562, 281, 1, 49, 24, 0,
564, 282, 1, 27, 21, 0,
566, 283, 1, 33, 23, 0,
568, 284, 1, 24, 22, 0,
570, 285, 3463, 49, 34, 0,
572, 286, 3440, 30, 45, 0,
574, 287, 3440, 37, 33, 0,
576, 288, 3421, 29, 40, 0,
578, 289, 1, 37, 24, 0,
580, 290, 3407, 30, 30, 0,
582, 291, 3393, 38, 33, 0,
